XpryDt,FinInstrmNm,TckrSymb,PCLOSE,OPEN,HIGH,LOW,CLOSE,SttlmPric,TtlTradgVol,OpnIntrst,RptgDt,TYPE,Week,Weekly Returns(%),Weekly Returns(%)
4/25/2024,FUTSTK,TATACONSUM,1159.3,1165,1177,1164.6,1171.3,1169.15,10,20700,19-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1171.3,1156,1166,1152.9,1165.5,1168.35,4,20700,20-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1165.5,1168.45,1187,1168.45,1172,1174.45,15,27900,21-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1172,1160.55,1166.1,1160.55,1166.1,1173.1,2,27000,22-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1166.1,1171,1175,1170,1171.15,1171.15,18,42300,23-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1171.15,1170,1192.65,1164.7,1189.2,1189.2,20,48600,26-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1189.2,1193.25,1198,1189,1195.9,1195.9,23,48600,27-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1195.9,1209.85,1215,1178.75,1178.9,1178.9,57,69300,28-Feb-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1212.1,0,0,0,1212.1,1221.1,0,0,1-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1219,1214,1214,1214,1214,1222.75,1,2700,4-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1214,1217.75,1223.45,1213,1214,1214,5,5400,5-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1214,1212,1219.95,1212,1219.95,1239.4,2,6300,6-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1219.95,1240,1280.6,1230,1275.6,1275.6,21,17100,7-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1275.6,1261.55,1261.55,1225,1238,1238.85,5,19800,11-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1238,0,0,0,1238,1233.1,0,19800,12-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1188.05,1201.45,1204,1201.45,1204,1215.45,5,19800,14-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1204,1205.8,1216.95,1200.95,1216.95,1229.35,6,19800,15-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1216.95,1212.55,1212.55,1203.65,1203.65,1203.65,3,22500,18-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1203.65,1189.7,1189.7,1158,1160,1160,12,26100,19-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1160,1141.15,1144,1132.2,1139,1139,21,32400,20-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1139,1139,1146,1139,1146,1146,9,37800,21-Mar-24,3,,,
5/30/2024,FUTSTK,TATACONSUM,1134.95,1128.5,1129.85,1126.5,1127.5,1127.5,16,51300,26-Mar-24,3,,,
